url,nombre,categoría,derivadas,derivadaRevisada
https://farsamag.com/obras/hamlet/,Hamlet,Imperdible,"/obra77378-hamlet, /obra80192-ellas-hamlet, /obra64474-hamlet, /obra31980-hamlet, /obra61418-hamlet, /obra58498-hamlet, /obra57630-hamlet, /obra62793-hamlet, /obra32798-hamlet, /obra37212-hamlet, /obra67133-hamlet, /obra44013-hamlet, /obra43718-hamlet, /obra52033-hamlet, /obra43377-hamlet, /obra45562-hamlet, /obra54744-hamlet, /obra71782-hamlet, /obra49469-hamlet, /obra49454-hamlet, /obra47948-hamlet, /obra74441-maten-a-hamlet, /obra78154-hamlet-o-la-destruccion, /obra55648-hamlet-no-es-su-propio-primo, /obra42753-origen-hamlet, /obra73268-yo-soy-hamlet, /obra70686-los-bardos-de-hamlet, /obra73519-bailemos-sobre-las-cenizas-hamlet, /obra52490-ho-variaciones-arbitrarias-sobre-hamlet, /obra47498-break-hamlet, /obra50756-hamlet-principe-de-barracas, /obra66312-tragedia-inadaptada-de-hamlet, /obra71603-hamlet-en-the-globe, /obra71943-hoy-hamlet-hoy, /obra71523-joaquin-furriel-monologo-en-vivo-de-hamlet, /obra57925-hamlet-la-herencia-de-la-carne, /obra33762-46xx-variaciones-hamlet, /obra52212-hamlet-la-maldicion-de-ser, /obra48744-malambo-esoterico-looking-for-hamlet, /obra59487-hamlet-bardo, /obra61458-no-tan-hamlet, /obra56009-yo-ella-hamlet-mi-padre-hamlet-diosa-4, /obra41310-hamlet-episodios-de-la-ratonera-nacional, /obra49523-hamlet-ruso, /obra53370-hamlet-the-musical, /obra50190-cielo-es-una-maquina-hamlet-esta-muerto-sin-fuerza-de-gravedad, /obra53936-to-be-or-not-to-be-un-recorrido-sobre-hamlet, /obra33482-hamlet-esta-muerto-sin-fuerza-de-gravedad, /obra33102-nino-en-estado-adulto-nieve-que-arde-o-lo-que-quedo-de-hamlet, /obra38066-hamlet-duele-o-el-eco-de-los-aplausos-que-ya-no-resuenan, /obra39534-hamlet-national-theatre-live, /obra33722-ser-o-no-ser-hamlet, /obra38085-un-hamlet, /obra32696-hamlet-de-los-andes, /obra31982-hamlet-tango-14, /obra33666-hamlet-shakespeares-globe-theatre, /obra29668-big-hamlet, /obra26981-la-madre-de-hamlet, /obra34507-maquina-hamlet, /obra35544-hamlet-y-macbeth-otra-version, /obra44741-no-hay-piedad-para-hamlet, /obra35709-el-hamlet-del-barrio-judio, /obra71222-hamlet-amleto, /obra50393-hamlet, /obra49415-hamlet, /obra57602-hamlet, /obra49718-hamlet, /obra30508-hamlet, /obra64905-hamlet, /obra50733-hamlet",False
https://farsamag.com/obras/el-bululu-antologia-endiablada/,El bululú. Antología endiablada,Imperdible,/obra17231-el-bululu-antologia-endiablada,False
https://farsamag.com/obras/menea-para-mi/,Menea para mí,Destacada,/obra33399-menea-para-mi,False
https://farsamag.com/obras/rayito-de-sol/,Rayito de sol,Reseña,"/obra55037-rayito-de-sol, /obra50667-rayito-de-sol",False
https://farsamag.com/obras/olvidame/,OlvídAME,Reseña,/obra75386-olvidame,False
https://farsamag.com/obras/pundonor/,Pundonor,Imperdible,/obra58745-pundonor,False
https://farsamag.com/obras/terrenal-pequeno-misterio-acrata/,Terrenal. Pequeño misterio ácrata.,Imperdible,/obra67638-festival-teatroxlaidentidad-terrenal-pequeno-misterio-acrata,False
https://farsamag.com/obras/el-puente-azul/,El puente azul,Reseña,/obra53631-el-puente-azul,False
https://farsamag.com/obras/reinas-abolladas/,Reinas abolladas,Reseña,/obra74530-reinas-abolladas,False
https://farsamag.com/obras/enamorarse-es-hablar-corto-y-enredado/,Enamorarse es hablar corto y enredado,Reseña,/obra40097-enamorarse-es-hablar-corto-y-enredado,False
https://farsamag.com/obras/jijop/,Jíjop,Reseña,/obra78555-jijop-una-historia-bailada,False
https://farsamag.com/obras/experiencia-i-la-persona-deprimida/,Experiencia I: La persona deprimida,Reseña,/obra66693-experiencia-i-la-persona-deprimida,False
https://farsamag.com/obras/que-todas-las-vaquitas-de-argentina-griten-mu/,Que todas las vaquitas de Argentina griten Mu,Destacada,/obra63700-que-todas-las-vaquitas-de-argentina-griten-mu-grupo-minimo,False
https://farsamag.com/obras/piedra-sentada-pata-corrida/,"Piedra sentada, pata corrida",Destacada,"/obra28891-piedra-sentada-pata-corrida, /obra45268-piedra-sentada-pata-corrida-farsa-civilizatoria",False
https://farsamag.com/obras/la-omision-de-la-familia-coleman/,La omisión de la familia Coleman,Reseña,"/obra4926-la-omision-de-la-familia-coleman, /obra71559-teatro-online-la-omision-de-la-familia-coleman",False
https://farsamag.com/obras/el-loco-y-la-camisa/,El loco y la camisa,Imperdible,/obra15117-el-loco-y-la-camisa,False
https://farsamag.com/obras/astronautas/,Astronautas,Reseña,"/obra63056-asstronautas, /obra57982-astronautas",False
https://farsamag.com/obras/christiane-un-bio-musical-cientifico/,Christiane. Un Bio-musical Científico,Destacada,"/obra47548-christiane-un-biomusical-cientifico, /obra78310-christiane-un-biomusical-cientifico",False
https://farsamag.com/obras/rosa-brillando/,Rosa brillando,Destacada,/obra18246-rosa-brillando,False
https://farsamag.com/obras/los-dias-de-la-fragilidad/,Los días de la fragilidad,Imperdible,/obra59952-los-dias-de-la-fragilidad,False
https://farsamag.com/obras/una-obra-para-mi/,Una obra para mí,Destacada,/obra75809-una-/obra-para-mi,False
https://farsamag.com/obras/habitacion-macbeth/,Habitación Macbeth,Imperdible,/obra74405-habitacion-macbeth,False
https://farsamag.com/obras/como-si-pasara-un-tren/,Como si pasara un tren,Destacada,"/obra37490-como-si-pasara-un-tren, /obra63237-como-si-pasara-un-tren-fiba",False
https://farsamag.com/obras/conurbano-cotidiano/,Conurbano cotidiano,Destacada,/obra79559-conurbano-cotidiano,False
https://farsamag.com/obras/luz-testigo/,Luz Testigo,Reseña,/obra75040-luz-testigo,False
https://farsamag.com/obras/cosas-pesadas-caen/,Cosas pesadas caen,Reseña,/obra70052-cosas-pesadas-caen,False
https://farsamag.com/obras/captura-de-aves-silvestres/,Captura de aves silvestres,Destacada,/obra73936-captura-de-aves-silvestres,False
https://farsamag.com/obras/perdon/,Perdón,Imperdible,"/obra68104-perdon-sutottos, /obra77325-el-perdon, /obra76296-perdonalos-opera, /obra71880-podes-perdonarla, /obra60223-perdonestamos-en-guerra, /obra66242-perdon-por-mi-humor, /obra68418-perdon-es-que-te-amo-vol-2, /obra68829-perdon-si-molestamos, /obra52728-la-empresa-siempre-perdona, /obra41635-de-la-naturaleza-lo-siento-perdoname-gracias-te-amo, /obra41680-aqqua-de-la-naturaleza-lo-siento-perdoname-gracias-te-amo, /obra36009-perdon-es-que-te-amo, /obra35447-perdoname-por-ayer, /obra34578-perdoname, /obra37395-amor-es-nunca-tener-que-pedir-perdon, /obra31054-perdon-flaco-y-los-colgados-del-bigote, /obra28732-perdona-bonita-pero-lucas-me-queria-a-mi, /obra29901-la-empresa-perdona-un-momento-de-locura, /obra22047-perdon-por-ser-tan-puta, /obra21556-perdoname-que-te-disculpe, /obra20539-robespierre-el-perdon-no-existe, /obra25046-perdonenla-si-habla-de-amor, /obra21527-la-empresa-perdona-un-momento-de-locura, /obra20519-la-empresa-perdona-un-momento-de-locura, /obra19665-me-ensenaste-a-sonreir-y-a-perdonar, /obra16662-pedime-perdon, /obra16946-le-pidio-perdon-al-padre, /obra9307-perdonalos-senor-no-saben-lo-que-hacen, /obra9330-impro-fest-perdonalos-senor-la-celebracion-de-lo-efimero, /obra5126-perdon-por-la-espera, /obra2240-perdonar-es-dibino-una-farza-inpresentavle, /obra3116-perdon-por-mi-arte, /obra1901-refugiados-o-pedir-perdon, /obra1146-de-nudos-y-perdones, /obra58515-perdon-por-mi-pasado, /obra56923-te-perdono-la-sopa, /obra51819-se-mata-o-se-perdona, /obra50305-perdoname-el-odio, /obra35361-perdon-laura, /obra61681-perdoname-senor-he-sido-mala-de-todo-me-arrepiento, /obra42382-mil-anos-de-perdon, /obra60484-mil-anos-de-perdon, /obra50023-mil-anos-de-perdon",False
https://farsamag.com/obras/sobre-mirjana-y-todos-los-que-la-rodean/,Sobre Mirjana y todos los que la rodean,Reseña,,False
https://farsamag.com/obras/todo-lo-posible/,Todo lo posible,Reseña,"/obra61040-todo-lo-posible, /obra63245-todo-lo-posible-fiba, /obra53234-todo-lo-posible-sala-4, /obra79598-todos-los-mundos-posibles",False
https://farsamag.com/obras/imprenteros/,Imprenteros,Reseña,/obra60898-imprenteros,False
https://farsamag.com/obras/la-elegida/,La elegida,Destacada,"/obra59854-la-elegida, /obra71696-la-elegida, /obra71500-la-elegida-on-line, /obra70322-visita-tactil-de-la-/obra-la-elegida-de-paula-fanelli, /obra50634-akllasumaq-la-elegida-por-su-belleza",False
https://farsamag.com/obras/el-ultimo-espectador/,El último espectador,Reseña,/obra56494-el-ultimo-espectador,False
https://farsamag.com/obras/nerium-park/,Nerium Park,Reseña,"/obra40017-nerium-park, /obra51580-nerium-park, /obra71614-teatro-online-nerium-park, /obra42376-nerium-park-se-encuentra-con-el-publico",False
