,url,personas,in_db,derivada
10,/obra24072-forever-young,"/persona236618-eric-gedeon, /persona5396-sebastian-blutrach, /persona2507-daniel-casablanca, /persona62281-joan-gracia, /persona13191-pablo-kompel, /persona62283-paco-mir, /persona62282-carles-sans, /persona15761-walter-canella, /persona4316-natalia-cociuffo, /persona103308-melania-lenoir, /persona13211-andrea-lovera, /persona402924-santiago-otero, /persona6069-gimena-riestra, /persona6204-ivana-rossi, /persona34714-martin-ruiz, /persona56151-german-tripel, /persona4455-marcelo-cuervo, /persona16870-gabriela-kogan, /persona14175-hector-ferreyra, /persona27825-guadalupe-bervih, /persona1711-andres-sahade, /persona62298-romina-juejati, /persona13190-jon-goransky, /persona274220-luciano-greco, /persona236619-tricicle, /persona5396-sebastian-blutrach, /persona13191-pablo-kompel, /persona5396-sebastian-blutrach, /persona13191-pablo-kompel, /persona4842-romina-chepe, /persona6853-ariel-stolier, /persona170744-edgardo-nicolaci, /persona4455-marcelo-cuervo, /persona18691-elizabeth-de-chapeaurouge, /persona7643-gaby-goldman, /persona2507-daniel-casablanca",False,False
11,/obra644hamlet74-,"/persona1159-william-shakespeare, /persona3119-ruben-szuchmacher, /persona9502-lautaro-vilo, /persona9502-lautaro-vilo, /persona12660-eugenia-alonso, /persona37418-nicolas-balcone, /persona18117-francisco-benvenuti, /persona442-belen-blanco, /persona2840-claudio-da-passano, /persona165-marcos-ferrante, /persona2524-joaquin-furriel, /persona602-mauricio-minetti, /persona295-pablo-palavecino, /persona1453-agustin-rittano, /persona1397-german-rodriguez, /persona6788-lalo-rotaveria, /persona368-fernando-sayago, /persona2071-marcelo-subiotto, /persona1398-agustin-vasquez, /persona66265-luis-ziembrowski, /persona11013-jorge-ferrari, /persona11013-jorge-ferrari, /persona23308-gonzalo-cordova, /persona512-barbara-togander, /persona512-barbara-togander, /persona284144-andres-dadamo, /persona405688-catalina-rivero, /persona204349-pehuen-gutierrez, /persona285030-luciana-uzal, /persona285030-luciana-uzal, /persona70096-julian-castro, /persona86684-ana-maria-converti, /persona289298-mauro-oteiza, /persona105626-isabel-gual, /persona5372-gustavo-schraier, /persona395172-julieta-sirven, /persona512-barbara-togander, /persona3119-ruben-szuchmacher",False,False
12,/obra76001-la-comedia-es-peligrosa,"/persona15875-gonzalo-demaria, /persona304-horacio-acosta, /persona58516-facundo-aquinos, /persona278-paola-barrientos, /persona80804-julian-cabrera, /persona286796-julian-cardoso, /persona1182-roberto-castro, /persona338-gaby-ferrero, /persona9409-andres-granier, /persona260494-milva-leonardi, /persona94-javier-lorenzo, /persona217247-tincho-lups, /persona117704-sergio-mayorquin, /persona5878-mariano-mazzei, /persona218-ivan-moschner, /persona295-pablo-palavecino, /persona25713-julian-rodriguez-rona, /persona6133-julio-suarez, /persona3871-diego-siliano, /persona1404-marcelo-katz, /persona3678-eli-sirlin, /persona15875-gonzalo-demaria, /persona520-ciro-zorzoli, /persona63085-celia-argello-rena, /persona12991-ana-kantemiroff, /persona98660-christian-covre, /persona30833-veronica-grande, /persona50449-jorge-lopez, /persona262613-juan-doumecq, /persona9605-nadia-crosa, /persona67223-francisco-patelli, /persona784-alejandra-menalled, /persona285132-victoria-beheran, /persona63085-celia-argello-rena, /persona520-ciro-zorzoli",False,False
13,/obra25509-la-mujer-puerca,"/persona2108-santiago-loza, /persona1277-valeria-lois, /persona29544-jose-escobar, /persona4625-lisandro-rodriguez, /persona29544-jose-escobar, /persona4625-lisandro-rodriguez, /persona669-matias-sendon, /persona49599-nora-lezano, /persona4625-lisandro-rodriguez, /persona230064-cammila-gomez-grandoli, /persona72804-maria-sureda, /persona230065-elefante-club-de-teatro, /persona50820-natalia-fernandez-acquier, /persona83171-mariano-villamarin, /persona4625-lisandro-rodriguez",False,False
14,/obra48490-la-terquedad,"/persona257301-paloma-contreras, /persona167-analia-couceyro, /persona164-javier-drolas, /persona4031-pilar-gamboa, /persona691-andrea-garrote, /persona1983-santiago-gobernori, /persona73991-guido-losantos, /persona95-monica-raiola, /persona6788-lalo-rotaveria, /persona5-pablo-seijo, /persona689-rafael-spregelburd, /persona692-alberto-suarez, /persona280-diego-velazquez, /persona2765-julieta-alvarez, /persona113552-santiago-badillo, /persona113552-santiago-badillo, /persona311679-pauli-coton, /persona92359-agustin-genoud, /persona683-nicolas-varchausky, /persona242756-mauricio-caceres, /persona105626-isabel-gual, /persona262613-juan-doumecq, /persona287411-yamila-rabinovich, /persona1195-ana-riveros, /persona33848-gabriel-guz, /persona689-rafael-spregelburd",False,False
15,/obra29154-la-wagner,"/persona1286-pablo-rotemberg, /persona120431-barbara-alonso, /persona62929-ayelen-clavin, /persona95635-carla-di-grazia, /persona49497-carla-rimola, /persona16158-fernando-berreta, /persona21826-mauro-bernardini, /persona21826-mauro-bernardini, /persona4950-jorge-grela, /persona418869-martin-berra, /persona4950-jorge-grela, /persona304936-phill-niblock, /persona1286-pablo-rotemberg, /persona304937-armando-trovajoli, /persona57742-richard-wagner, /persona84431-guillermo-juhasz, /persona279207-facundo-montoya, /persona270428-alejandro-carmona, /persona281808-paola-evelina-gallarato, /persona288957-juan-antonio-papagni-meca, /persona2851-hernan-paulos, /persona424915-camilo-gonzalez-lowy, /persona293153-facundo-david, /persona118487-hector-zanollo, /persona32535-natalia-ponso, /persona147849-marcos-mutuverria, /persona241661-mariana-cinat, /persona17740-martin-churba, /persona62929-ayelen-clavin, /persona95635-carla-di-grazia, /persona59113-josefina-gorostiza, /persona49497-carla-rimola, /persona1286-pablo-rotemberg, /persona1286-pablo-rotemberg",False,False
16,/obra75779-las-cautivas,"/persona679-laura-paredes, /persona23161-lorena-vega, /persona17154-magda-banach, /persona7164-rodrigo-gonzalez-garillo, /persona669-matias-sendon, /persona144441-ian-shifres, /persona144441-ian-shifres, /persona64262-jazmin-titiunik, /persona59104-mariano-tenconi-blanco",False,False
17,/obra59952-los-dias-de-la-fragilidad,"/persona255843-andres-gallina, /persona52902-manuela-mendez, /persona218-ivan-moschner, /persona37389-patricia-casares, /persona105626-isabel-gual, /persona105626-isabel-gual, /persona293153-facundo-david, /persona37389-patricia-casares, /persona145089-muma-casares, /persona145089-muma-casares, /persona390628-santiago-moscardi, /persona389500-maria-noelia-galera, /persona78172-naiquen-aranda, /persona25817-carolina-alfonso, /persona27310-gabo-baigorria, /persona27359-fabian-diaz",False,False
18,/obra56662-matate-amor,"/persona42897-ariana-harwicz, /persona42897-ariana-harwicz, /persona12617-marilu-marini, /persona4607-erica-rivas, /persona4607-erica-rivas, /persona23107-rodolfo-de-souza, /persona5415-monica-toschi, /persona81278-coca-oderigo, /persona3555-emanuel-mino, /persona3555-emanuel-mino, /persona308623-ivan-gierasinchuk, /persona180906-jesica-suarez, /persona80878-maxi-vecco, /persona363767-sebastian-freire, /persona55098-juan-gatti, /persona80695-milagros-plaza-diaz, /persona169273-fiamma-carranza-macchi, /persona379625-daniel-secches, /persona323561-santos-4040, /persona12617-marilu-marini, /persona4607-erica-rivas, /persona518-diana-szeinblum, /persona12617-marilu-marini",False,False
19,/obra27434-para-mi-sos-hermosa,"/persona4756-paula-ransenberg, /persona4756-paula-ransenberg, /persona386-alejandro-mateo, /persona386-alejandro-mateo, /persona82749-fernanda-balcells, /persona19246-emiliano-alvarez, /persona105565-manuel-escudero, /persona28514-ale-ojeda, /persona10782-miguel-israilevich, /persona28514-ale-ojeda, /persona53078-daniel-garber, /persona405187-leidy-gomez, /persona8950-marisol-cambre, /persona85543-juan-zuluaga-bolivar, /persona3744-marcelo-nacci",False,False
