urlAT,categoríaAT,categoríaF,categoríaLN,volumenAT
https://www.alternativateatral.com//obra63715-edua-zadory-en-argentina-las-8-estaciones-vivaldi--piazzolla-junto-a-adrian-ruggiero-y-orquesta-sinergia,4.2,,,20
https://www.alternativateatral.com//obra15749-la-espuma,4.0,,,1
https://www.alternativateatral.com//obra29183-vespro-della-beata-vergine,4.5,,,2
https://www.alternativateatral.com//obra75565-la-gracia-perdida,4.375,,,16
https://www.alternativateatral.com//obra29843-las-esposas,4.411764705882353,,,17
https://www.alternativateatral.com//obra57881-los-martes-orquideas,4.285714285714286,,,287
https://www.alternativateatral.com//obra68236-teatro-cherry,4.125,,,8
https://www.alternativateatral.com//obra41308-el-club-de-las-fracasadas-mas-fracasadas-que-nunca,4.0,,,14
https://www.alternativateatral.com//obra67977-el-tiempo-no-es-ezeiza,4.0285714285714285,,,35
https://www.alternativateatral.com//obra80218-las-10-de-ultimas,4.428571428571429,,,28
https://www.alternativateatral.com//obra52269-yoyo-las-aventuras-de-martin,4.5,,,26
https://www.alternativateatral.com//obra66430-heroinas,4.333333333333333,,,12
https://www.alternativateatral.com//obra68008-ciclo-de-pianistas--seba-dorso--invitadxs,5.0,,,2
https://www.alternativateatral.com//obra37308-walter-hecho-pedazos,4.2,,,5
https://www.alternativateatral.com//obra66305-chanchos,4.666666666666667,,,3
https://www.alternativateatral.com//obra30869-estocolmo-mon-amour,3.4444444444444446,,,9
https://www.alternativateatral.com//obra81046-proyecto-lunatico,5.0,,,2
https://www.alternativateatral.com//obra17365-un-cuento-negro,4.375,,,56
https://www.alternativateatral.com//obra64322-ensayos-de-ducha,4.4,,,5
https://www.alternativateatral.com//obra39398-el-padre,5.0,,,1
https://www.alternativateatral.com//obra66551-princesa-del-hielo,4.4,,,15
https://www.alternativateatral.com//obra7538-rodando,4.333333333333333,,,15
https://www.alternativateatral.com//obra13699-la-casa-de-bernarda-alba,3.2222222222222223,,,9
https://www.alternativateatral.com//obra66923-crisis-cantando-se-sale,4.5,,,2
https://www.alternativateatral.com//obra71227-otra-mala-noche,4.333333333333333,,,3
https://www.alternativateatral.com//obra78189-pequenas-anecdotas-sobre-la-republica,3.875,,,16
https://www.alternativateatral.com//obra75911-1er-ciclo-de-proyecciones-presenta-retazos,5.0,,,1
https://www.alternativateatral.com//obra9745-vacaciones-un-choque-de-barcos,4.0,,,1
https://www.alternativateatral.com//obra76254-entre-rios,4.203389830508475,,,59
https://www.alternativateatral.com//obra40725-elizabeth-i,3.5,,,2
https://www.alternativateatral.com//obra64243-luciana-jury-en-el-gutierrez,3.0,,,2
https://www.alternativateatral.com//obra68254-aceite-de-mariposa,4.3584905660377355,,,53
https://www.alternativateatral.com//obra75494-ea-mi-nenin,4.0,,,7
https://www.alternativateatral.com//obra73351-abre-los-ojos,4.0,,,6
https://www.alternativateatral.com//obra56625-tu-amor-latir,3.962962962962963,,,27
https://www.alternativateatral.com//obra71241-the-odd-couple-female-version,4.419354838709677,,,31
https://www.alternativateatral.com//obra67975-saborido-y-rep,4.111111111111111,,,9
https://www.alternativateatral.com//obra5083-mr-xpender,5.0,,,1
