urlAT,categoríaAT,página
https://www.alternativateatral.com//obra67171-los-miedos,4,17
https://www.alternativateatral.com//obra78816-peroncho-en-vivo,5,17
https://www.alternativateatral.com//obra78410-el-tipo,4,17
https://www.alternativateatral.com//obra82150-love-me,4,17
https://www.alternativateatral.com//obra67171-los-miedos,5,18
https://www.alternativateatral.com//obra78816-peroncho-en-vivo,5,18
https://www.alternativateatral.com//obra73148-canto-a-federico-relato-sonoro,5,18
https://www.alternativateatral.com//obra67150-los-nacimientos,5,18
https://www.alternativateatral.com//obra67150-los-nacimientos,4,18
https://www.alternativateatral.com//obra82312-adentro-es-demasiado-poema-y-cancion,4,18
https://www.alternativateatral.com//obra82276-arena-en-el-ojo,5,18
https://www.alternativateatral.com//obra82150-love-me,4,19
https://www.alternativateatral.com//obra67150-los-nacimientos,4,19
https://www.alternativateatral.com//obra78816-peroncho-en-vivo,4,19
https://www.alternativateatral.com//obra81178-choque-de-criollos,5,19
https://www.alternativateatral.com//obra67150-los-nacimientos,4,19
https://www.alternativateatral.com//obra67171-los-miedos,1,19
https://www.alternativateatral.com//obra77299-ciclo-escenas-alternativas--el-viento-en-un-violin,4,19
https://www.alternativateatral.com//obra81956-yerma,3,20
https://www.alternativateatral.com//obra67150-los-nacimientos,5,20
https://www.alternativateatral.com//obra67150-los-nacimientos,5,20
https://www.alternativateatral.com//obra67171-los-miedos,2,20
https://www.alternativateatral.com//obra75262-alververas-la-saga,4,20
https://www.alternativateatral.com//obra81302-hablar-asi-no-es-hablar,4,20
https://www.alternativateatral.com//obra75262-alververas-la-saga,1,20
https://www.alternativateatral.com//obra67171-los-miedos,3,21
https://www.alternativateatral.com//obra75262-alververas-la-saga,5,21
https://www.alternativateatral.com//obra77246-el-hombre-de-acero,3,21
https://www.alternativateatral.com//obra67150-los-nacimientos,5,21
https://www.alternativateatral.com//obra67150-los-nacimientos,5,21
https://www.alternativateatral.com//obra67150-los-nacimientos,5,21
https://www.alternativateatral.com//obra82069-un-dia-fatal,4,21
https://www.alternativateatral.com//obra82188-las-algas,4,22
https://www.alternativateatral.com//obra82188-las-algas,4,22
https://www.alternativateatral.com//obra67150-los-nacimientos,4,22
https://www.alternativateatral.com//obra67150-los-nacimientos,4,22
https://www.alternativateatral.com//obra75262-alververas-la-saga,3,22
https://www.alternativateatral.com//obra67150-los-nacimientos,5,22
https://www.alternativateatral.com//obra67171-los-miedos,5,22
https://www.alternativateatral.com//obra81986-gavi-vali,5,23
https://www.alternativateatral.com//obra67150-los-nacimientos,5,23
https://www.alternativateatral.com//obra82328-suculenta-inspiracion,3,23
https://www.alternativateatral.com//obra79698-el-club-comedy-bar,3,23
https://www.alternativateatral.com//obra82327-rodolfo-mederos-trio,0,23
//www.alternativateatral.com/opinador299333-mar,5,23
https://www.alternativateatral.com//obra67171-los-miedos,4,23
https://www.alternativateatral.com//obra82188-las-algas,3,24
https://www.alternativateatral.com//obra82327-rodolfo-mederos-trio,5,24
https://www.alternativateatral.com//obra81302-hablar-asi-no-es-hablar,4,24
https://www.alternativateatral.com//obra82327-rodolfo-mederos-trio,5,24
https://www.alternativateatral.com//obra67150-los-nacimientos,4,24
https://www.alternativateatral.com//obra80381-humano-ser,5,24
https://www.alternativateatral.com//obra81302-hablar-asi-no-es-hablar,5,24
https://www.alternativateatral.com//obra75262-alververas-la-saga,4,25
https://www.alternativateatral.com//obra67150-los-nacimientos,4,25
https://www.alternativateatral.com//obra75262-alververas-la-saga,5,25
https://www.alternativateatral.com//obra80398-mutis-hefesto,4,25
https://www.alternativateatral.com//obra82327-rodolfo-mederos-trio,4,25
https://www.alternativateatral.com//obra82092-esto-no-es-un-telo,4,25
https://www.alternativateatral.com//obra67150-los-nacimientos,4,25
https://www.alternativateatral.com//obra73854-martes-de-la-grande,4,26
https://www.alternativateatral.com//obra67150-los-nacimientos,4,26
https://www.alternativateatral.com//obra81297-fiesta-en-el-jardin,4,26
https://www.alternativateatral.com//obra70079-fuck-me,4,26
https://www.alternativateatral.com//obra67150-los-nacimientos,1,26
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,4,26
https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,4,26
https://www.alternativateatral.com//obra70079-fuck-me,5,27
https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,5,27
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,3,27
https://www.alternativateatral.com//obra81302-hablar-asi-no-es-hablar,4,27
https://www.alternativateatral.com//obra70079-fuck-me,0,27
https://www.alternativateatral.com//obra78755-miguel-rep-dibuja--pedro-saborido-habla,5,27
https://www.alternativateatral.com//obra82328-suculenta-inspiracion,4,27
https://www.alternativateatral.com//obra82393-las-apostolas,5,28
https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,4,28
https://www.alternativateatral.com//obra80134-hdp,4,28
https://www.alternativateatral.com//obra81972-toda-esa-sal-en-la-piel,0,28
https://www.alternativateatral.com//obra78844-hasta-luego-zorzal,4,28
https://www.alternativateatral.com//obra82362-gabino-chavez,5,28
https://www.alternativateatral.com//obra81297-fiesta-en-el-jardin,4,28
https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,2,29
https://www.alternativateatral.com//obra82237-por-si-o-por-no--muestra-de-actuacion-2do-ano,4,29
https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,4,29
https://www.alternativateatral.com//obra82152-costa-presidenta,5,29
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,3,29
https://www.alternativateatral.com//obra80591-las-fieras,3,29
https://www.alternativateatral.com//obra40097-enamorarse-es-hablar-corto-y-enredado,5,29
https://www.alternativateatral.com//obra70079-fuck-me,4,30
https://www.alternativateatral.com//obra77299-ciclo-escenas-alternativas--el-viento-en-un-violin,4,30
https://www.alternativateatral.com//obra74405-habitacion-macbeth,4,30
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,4,30
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,5,30
https://www.alternativateatral.com//obra79542-la-lengua-es-un-musculo-pero-el-lenguaje-es-un-virus,4,30
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,5,30
https://www.alternativateatral.com//obra30367-malefica-una-bella-en-apuros,4,31
https://www.alternativateatral.com//obra81297-fiesta-en-el-jardin,3,31
https://www.alternativateatral.com//obra61334-muerte-accidental-de-un-anarquista,4,31
https://www.alternativateatral.com//obra82362-gabino-chavez,4,31
https://www.alternativateatral.com//obra55851-beethoven,5,31
https://www.alternativateatral.com//obra77155-no-hay-banda,3,31
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,5,31
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,4,32
https://www.alternativateatral.com//obra67150-los-nacimientos,5,32
https://www.alternativateatral.com//obra81297-fiesta-en-el-jardin,4,32
https://www.alternativateatral.com//obra82393-las-apostolas,4,32
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,5,32
//www.alternativateatral.com/opinador299270-luis,0,32
https://www.alternativateatral.com//obra70079-fuck-me,4,32
https://www.alternativateatral.com//obra70079-fuck-me,0,33
https://www.alternativateatral.com//obra42742-la-casa-de-bernarda-alba,5,33
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,4,33
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,2,33
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,4,33
https://www.alternativateatral.com//obra81971-digan-wisky,5,33
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,4,33
https://www.alternativateatral.com//obra42742-la-casa-de-bernarda-alba,5,35
https://www.alternativateatral.com//obra52484-leonardo-sbaraglia--fernando-tarres--el-territorio-del-poder,5,35
https://www.alternativateatral.com//obra81297-fiesta-en-el-jardin,3,35
https://www.alternativateatral.com//obra59413-la-vida-extraordinaria,0,35
https://www.alternativateatral.com//obra67150-los-nacimientos,4,35
https://www.alternativateatral.com//obra67150-los-nacimientos,4,35
https://www.alternativateatral.com//obra70079-fuck-me,4,35
https://www.alternativateatral.com//obra30367-malefica-una-bella-en-apuros,4,36
https://www.alternativateatral.com//obra77690-las-reinas,5,36
https://www.alternativateatral.com//obra70079-fuck-me,5,36
https://www.alternativateatral.com//obra82379-en-pocas-palabrasmucho-por-decir148-tres-obras-cortas,5,36
https://www.alternativateatral.com//obra82276-arena-en-el-ojo,5,36
https://www.alternativateatral.com//obra82069-un-dia-fatal,5,36
https://www.alternativateatral.com//obra77299-ciclo-escenas-alternativas--el-viento-en-un-violin,5,36
https://www.alternativateatral.com//obra82069-un-dia-fatal,5,37
https://www.alternativateatral.com//obra79698-el-club-comedy-bar,3,37
https://www.alternativateatral.com//obra70079-fuck-me,5,37
https://www.alternativateatral.com//obra67150-los-nacimientos,5,37
https://www.alternativateatral.com//obra79698-el-club-comedy-bar,2,37
https://www.alternativateatral.com//obra79542-la-lengua-es-un-musculo-pero-el-lenguaje-es-un-virus,4,37
https://www.alternativateatral.com//obra70079-fuck-me,5,37
https://www.alternativateatral.com//obra67150-los-nacimientos,5,38
https://www.alternativateatral.com//obra70079-fuck-me,4,38
https://www.alternativateatral.com//obra28615-parque-lezama,5,38
https://www.alternativateatral.com//obra67150-los-nacimientos,4,38
https://www.alternativateatral.com//obra75262-alververas-la-saga,5,38
https://www.alternativateatral.com//obra67150-los-nacimientos,5,38
https://www.alternativateatral.com//obra70079-fuck-me,5,38
https://www.alternativateatral.com//obra81972-toda-esa-sal-en-la-piel,5,39
https://www.alternativateatral.com//obra67150-los-nacimientos,4,39
https://www.alternativateatral.com//obra73148-canto-a-federico-relato-sonoro,4,39
https://www.alternativateatral.com//obra79542-la-lengua-es-un-musculo-pero-el-lenguaje-es-un-virus,4,39
https://www.alternativateatral.com//obra70079-fuck-me,5,39
https://www.alternativateatral.com//obra70079-fuck-me,4,39
https://www.alternativateatral.com//obra75262-alververas-la-saga,4,39
https://www.alternativateatral.com//obra77299-ciclo-escenas-alternativas--el-viento-en-un-violin,4,42
https://www.alternativateatral.com//obra34057-un-viaje-a-ciegas,2,42
https://www.alternativateatral.com//obra66410-improactiva-improvisacion-interactivano-apague-su-celular,3,42
https://www.alternativateatral.com//obra70372-toxico,3,42
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,5,42
https://www.alternativateatral.com//obra64240-delia,4,42
https://www.alternativateatral.com//obra34057-un-viaje-a-ciegas,4,42
https://www.alternativateatral.com//obra67150-los-nacimientos,5,43
https://www.alternativateatral.com//obra34057-un-viaje-a-ciegas,0,43
https://www.alternativateatral.com//obra82287-medusas-en-el-te,4,43
https://www.alternativateatral.com//obra34057-un-viaje-a-ciegas,5,43
https://www.alternativateatral.com//obra67150-los-nacimientos,5,43
https://www.alternativateatral.com//obra67150-los-nacimientos,5,43
https://www.alternativateatral.com//obra67150-los-nacimientos,5,43
https://www.alternativateatral.com//obra67150-los-nacimientos,5,44
https://www.alternativateatral.com//obra67150-los-nacimientos,4,44
https://www.alternativateatral.com//obra64240-delia,5,44
https://www.alternativateatral.com//obra20115-los-tres-chanchitos,5,44
https://www.alternativateatral.com//obra80591-las-fieras,5,44
https://www.alternativateatral.com//obra80591-las-fieras,5,44
https://www.alternativateatral.com//obra82131-ciclo-tangos-sin-arreglo,5,44
https://www.alternativateatral.com//obra56773-ensayo-sobre-el-miedo-distopia-grotesca-sobre-el-fin-del-mundo,0,45
https://www.alternativateatral.com//obra70079-fuck-me,4,45
https://www.alternativateatral.com//obra81951-senoras,0,45
https://www.alternativateatral.com//obra82287-medusas-en-el-te,3,45
https://www.alternativateatral.com//obra70079-fuck-me,4,45
https://www.alternativateatral.com//obra75262-alververas-la-saga,3,45
https://www.alternativateatral.com//obra74405-habitacion-macbeth,5,45
https://www.alternativateatral.com//obra7918-los-abuelos-no-mienten,5,46
https://www.alternativateatral.com//obra82092-esto-no-es-un-telo,4,46
https://www.alternativateatral.com//obra82131-ciclo-tangos-sin-arreglo,4,46
https://www.alternativateatral.com//obra70079-fuck-me,3,46
https://www.alternativateatral.com//obra70079-fuck-me,4,46
https://www.alternativateatral.com//obra70079-fuck-me,4,46
https://www.alternativateatral.com//obra70079-fuck-me,5,46
https://www.alternativateatral.com//obra79091-eternidad,5,47
https://www.alternativateatral.com//obra82195-laboratorios-washla-o-hay-que-matar-a-papa,4,47
https://www.alternativateatral.com//obra70079-fuck-me,5,47
https://www.alternativateatral.com//obra39832-el-candidato,3,47
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,5,47
https://www.alternativateatral.com//obra70079-fuck-me,5,47
https://www.alternativateatral.com//obra70079-fuck-me,4,47
https://www.alternativateatral.com//obra70079-fuck-me,4,48
https://www.alternativateatral.com//obra70079-fuck-me,5,48
https://www.alternativateatral.com//obra75543-el-patio-de-atras,4,48
https://www.alternativateatral.com//obra70079-fuck-me,4,48
https://www.alternativateatral.com//obra70079-fuck-me,5,48
https://www.alternativateatral.com//obra70079-fuck-me,5,48
https://www.alternativateatral.com//obra70079-fuck-me,4,48
https://www.alternativateatral.com//obra70079-fuck-me,5,49
https://www.alternativateatral.com//obra56773-ensayo-sobre-el-miedo-distopia-grotesca-sobre-el-fin-del-mundo,5,49
https://www.alternativateatral.com//obra82331-festival-lazos-tercera-edicion,5,49
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,0,49
https://www.alternativateatral.com//obra70079-fuck-me,4,49
https://www.alternativateatral.com//obra70079-fuck-me,5,49
https://www.alternativateatral.com//obra73148-canto-a-federico-relato-sonoro,2,49
https://www.alternativateatral.com//obra81970-redondel,5,50
https://www.alternativateatral.com//obra62860-con-la-hermana-de-un-amigo-no,4,50
https://www.alternativateatral.com//obra66295-pan--percusion-con-senas,4,50
https://www.alternativateatral.com//obra82335-mocchi-en-buenos-aires,3,50
https://www.alternativateatral.com//obra70079-fuck-me,4,50
https://www.alternativateatral.com//obra65140-sex-vivi-tu-experiencia,1,50
https://www.alternativateatral.com//obra78755-miguel-rep-dibuja--pedro-saborido-habla,4,50
https://www.alternativateatral.com//obra82276-arena-en-el-ojo,4,53
https://www.alternativateatral.com//obra82136-la-cena-azul,3,53
https://www.alternativateatral.com//obra82276-arena-en-el-ojo,5,53
https://www.alternativateatral.com//obra78755-miguel-rep-dibuja--pedro-saborido-habla,3,53
https://www.alternativateatral.com//obra82276-arena-en-el-ojo,5,53
https://www.alternativateatral.com//obra70079-fuck-me,4,53
https://www.alternativateatral.com//obra79869-vistiendo-sombras,5,53
https://www.alternativateatral.com//obra81297-fiesta-en-el-jardin,3,54
https://www.alternativateatral.com//obra78755-miguel-rep-dibuja--pedro-saborido-habla,5,54
https://www.alternativateatral.com//obra82335-mocchi-en-buenos-aires,5,54
https://www.alternativateatral.com//obra82287-medusas-en-el-te,5,54
https://www.alternativateatral.com//obra82335-mocchi-en-buenos-aires,5,54
https://www.alternativateatral.com//obra7918-los-abuelos-no-mienten,4,54
https://www.alternativateatral.com//obra82331-festival-lazos-tercera-edicion,4,54
