nombre,urlAT,derivadas,categoríaLN
La Meca,https://www.alternativateatral.com//obra75405-la-meca,"obra75405-la-meca,obra79789-el-mecanismo-de-alaska,obra54244-la-mecanica-de-la-carne,obra14108-la-mecanica-del-sol,obra14651-105-pasos-o-la-mecanica-de-la-carne,obra2223-el-camino-a-la-meca,obra74698-la-naranja-mecanica-el-musical,obra70714-molly-mecanica-singular,obra62944-la-naranja-mecanica,obra57563-mecanocracias-ciclo-escenico-autorregulado,obra40204-tiper-tap-mecanografas-tituladas,obra30985-la-mandarina-mecanica,obra32408-la-palabra-mecanica-parte-i-think-big,obra24710-mecanismos-de-erosion-para-la-tempestad-de-shakespeare,obra13846-lazo-mecanico-familiar,obra7670-la-comedia-mecanica,obra9138-la-cuna-mecanica,obra3285-lazo-mecanico-familiar,obra50701-la-banana-mecanica",4
Los actores infelices,https://www.alternativateatral.com//obra75378-los-actores-infelices,obra75378-los-actores-infelices,3
Prórroga para una despedida,https://www.alternativateatral.com//obra78153-prorroga-para-una-despedida,obra78153-prorroga-para-una-despedida,3
Cemento,,"obra76290-cemento,obra76871-desierto-de-cemento,obra63049-capsula-galopeador-contra-el-cemento,obra61193-galopeador-contra-el-cemento,obra51624-la-mississipi-blues-band-ciudad-cemento,obra42887-jungla-de-cemento,obra21989-bajo-once-metros-de-cemento,obra28340-la-pluma-en-el-cemento,obra16475-tierra-y-cemento,obra43296-los-villancicos-cemento,obra75833-carne-de-cemento",3
"Lorca, el teatro bajo la arena",https://www.alternativateatral.com//obra78212-lorca-el-teatro-bajo-la-arena,obra78212-lorca-el-teatro-bajo-la-arena,4
Cartón pintado,,"obra77718-carton-pintado,obra1151-carton-pintado",4
Animal de río,,"obra75715-animal-de-rio,obra76789-sementerio-de-animales",3
El hombre de acero,https://www.alternativateatral.com//obra77246-el-hombre-de-acero,obra77246-el-hombre-de-acero,5
Encierros (2x2+1),https://www.alternativateatral.com//obra77786-encierros-2x21,obra77786-encierros-2x21,4
28 almas en el hielo,https://www.alternativateatral.com//obra76132-28-almas-en-el-hielo,obra76132-28-almas-en-el-hielo,4
La última Bonaparte,https://www.alternativateatral.com//obra77613-la-ultima-bonaparte,obra77613-la-ultima-bonaparte,5
"Mi madre, mi novia y yo",https://www.alternativateatral.com//obra77282-mi-madre-mi-novia-y-yo,obra77282-mi-madre-mi-novia-y-yo,4
Costa presidenta,https://www.alternativateatral.com//obra82152-costa-presidenta,obra82152-costa-presidenta,3
"Tom, Dick & Harry",,,3
La última sesión de Freud,,"obra22792-la-ultima-sesion-de-freud,obra37222-la-ultima-sesion-de-freud",4
Clase 63,https://www.alternativateatral.com//obra81336-clase-63,obra81336-clase-63,4
